TimeStamp,SpotPrice,InstanceType,OS type,AvailabilityZone
2014-03-27 20:15:33,0.2031,c3.4xlarge,Linux/UNIX,us-west-1a
2014-03-28 04:12:20,3.0,c3.4xlarge,Linux/UNIX,us-west-1a
2014-03-28 04:14:07,0.2031,c3.4xlarge,Linux/UNIX,us-west-1a
2014-03-28 04:26:40,3.0,c3.4xlarge,Linux/UNIX,us-west-1a
2014-03-28 05:33:04,0.2031,c3.4xlarge,Linux/UNIX,us-west-1a
2014-03-28 05:43:51,3.0,c3.4xlarge,Linux/UNIX,us-west-1a
2014-03-28 07:23:09,0.2031,c3.4xlarge,Linux/UNIX,us-west-1a
2014-03-28 07:24:56,3.0,c3.4xlarge,Linux/UNIX,us-west-1a
2014-03-28 07:35:48,0.2031,c3.4xlarge,Linux/UNIX,us-west-1a
2014-03-28 07:48:27,3.0,c3.4xlarge,Linux/UNIX,us-west-1a
2014-03-28 08:59:01,0.2031,c3.4xlarge,Linux/UNIX,us-west-1a
2014-03-28 15:22:03,4.0,c3.4xlarge,Linux/UNIX,us-west-1a
2014-03-28 15:23:55,0.2031,c3.4xlarge,Linux/UNIX,us-west-1a
2014-03-28 15:27:42,4.0,c3.4xlarge,Linux/UNIX,us-west-1a
2014-03-28 15:39:03,0.2031,c3.4xlarge,Linux/UNIX,us-west-1a
2014-03-28 15:46:38,4.0,c3.4xlarge,Linux/UNIX,us-west-1a
2014-03-28 15:50:28,0.2031,c3.4xlarge,Linux/UNIX,us-west-1a
2014-03-28 15:52:20,4.0,c3.4xlarge,Linux/UNIX,us-west-1a
2014-03-28 15:54:15,0.2031,c3.4xlarge,Linux/UNIX,us-west-1a
2014-03-28 16:01:52,4.0,c3.4xlarge,Linux/UNIX,us-west-1a
2014-03-28 17:21:16,0.2031,c3.4xlarge,Linux/UNIX,us-west-1a
2014-03-28 17:38:43,4.0,c3.4xlarge,Linux/UNIX,us-west-1a
2014-03-28 17:42:34,0.2031,c3.4xlarge,Linux/UNIX,us-west-1a
2014-03-28 21:02:23,4.0,c3.4xlarge,Linux/UNIX,us-west-1a
2014-03-28 21:04:15,0.2031,c3.4xlarge,Linux/UNIX,us-west-1a
2014-03-28 21:11:49,4.0,c3.4xlarge,Linux/UNIX,us-west-1a
2014-03-28 21:23:10,0.2031,c3.4xlarge,Linux/UNIX,us-west-1a
2014-03-29 02:00:49,4.0,c3.4xlarge,Linux/UNIX,us-west-1a
2014-03-29 02:02:39,0.2031,c3.4xlarge,Linux/UNIX,us-west-1a
2014-03-29 02:09:54,4.0,c3.4xlarge,Linux/UNIX,us-west-1a
2014-03-29 02:17:13,0.2031,c3.4xlarge,Linux/UNIX,us-west-1a
2014-03-29 04:34:29,4.0,c3.4xlarge,Linux/UNIX,us-west-1a
2014-03-29 04:39:58,0.2031,c3.4xlarge,Linux/UNIX,us-west-1a
