,AvailabilityZone,InstanceType,OnDemand,yrTerm1Standard.allUpfront,yrTerm1Standard.noUpfront,yrTerm1Standard.partialUpfront,yrTerm3Convertible.allUpfront,yrTerm3Convertible.noUpfront,yrTerm3Convertible.partialUpfront,yrTerm3Standard.allUpfront,yrTerm3Standard.partialUpfront
522,us-west-2,p2.16xlarge,14.4,9.173,10.951,9.360,8.256,9.856,8.424,6.392,6.800
523,eu-west-1,p2.16xlarge,15.552,9.941,11.868,10.144,8.947,10.682,9.130,6.918,7.360
524,us-east-1,d2.xlarge,0.69,0.337,0.402,0.344,0.303,0.362,0.310,0.198,0.210
525,us-west-2,d2.xlarge,0.69,0.337,0.402,0.344,0.303,0.362,0.310,0.198,0.210
526,us-west-1,d2.xlarge,0.781,0.412,0.491,0.420,0.371,0.442,0.378,0.253,0.269
527,eu-west-1,d2.xlarge,0.735,0.374,0.447,0.382,0.337,0.402,0.344,0.255,0.272
528,eu-central-1,d2.xlarge,0.794,0.404,0.482,0.412,0.364,0.434,0.371,0.276,0.294
529,ap-southeast-1,d2.xlarge,0.87,0.430,0.513,0.438,0.387,0.462,0.395,0.294,0.312
530,ap-northeast-1,d2.xlarge,0.844,0.443,0.529,0.452,0.399,0.476,0.407,0.303,0.322
531,ap-northeast-2,d2.xlarge,0.844,0.443,0.529,0.452,0.399,0.476,0.407,0.303,0.322
532,ap-southeast-2,d2.xlarge,0.87,0.430,0.513,0.438,0.387,0.462,0.395,0.294,0.312
533,us-east-1,d2.2xlarge,1.38,0.674,0.804,0.688,0.607,0.724,0.619,0.395,0.421
534,us-west-2,d2.2xlarge,1.38,0.674,0.804,0.688,0.607,0.724,0.619,0.395,0.421
535,us-west-1,d2.2xlarge,1.563,0.823,0.983,0.840,0.741,0.885,0.756,0.506,0.538
536,eu-west-1,d2.2xlarge,1.47,0.748,0.894,0.764,0.674,0.805,0.687,0.511,0.544
537,eu-central-1,d2.2xlarge,1.588,0.808,0.964,0.824,0.727,0.868,0.742,0.552,0.587
538,ap-southeast-1,d2.2xlarge,1.74,0.859,1.026,0.877,0.773,0.923,0.789,0.587,0.625
539,ap-northeast-1,d2.2xlarge,1.688,0.886,1.058,0.904,0.797,0.952,0.813,0.605,0.644
540,ap-northeast-2,d2.2xlarge,1.688,0.886,1.058,0.904,0.797,0.952,0.813,0.605,0.644
541,ap-southeast-2,d2.2xlarge,1.74,0.859,1.026,0.877,0.773,0.923,0.789,0.587,0.625
542,us-east-1,d2.4xlarge,2.76,1.348,1.608,1.376,1.213,1.447,1.238,0.791,0.841
543,us-west-2,d2.4xlarge,2.76,1.348,1.608,1.376,1.213,1.447,1.238,0.791,0.841
544,us-west-1,d2.4xlarge,3.125,1.646,1.966,1.680,1.481,1.769,1.512,1.010,1.075
545,eu-west-1,d2.4xlarge,2.94,1.497,1.788,1.528,1.347,1.609,1.375,1.022,1.087
546,eu-central-1,d2.4xlarge,3.176,1.616,1.928,1.649,1.454,1.735,1.484,1.104,1.175
547,ap-southeast-1,d2.4xlarge,3.48,1.719,2.052,1.754,1.547,1.847,1.578,1.174,1.249
548,ap-northeast-1,d2.4xlarge,3.376,1.772,2.116,1.808,1.595,1.904,1.627,1.211,1.288
