,AvailabilityZone,InstanceType,OnDemand,yrTerm1Standard.allUpfront,yrTerm1Standard.noUpfront,yrTerm1Standard.partialUpfront,yrTerm3Convertible.allUpfront,yrTerm3Convertible.noUpfront,yrTerm3Convertible.partialUpfront,yrTerm3Standard.allUpfront,yrTerm3Standard.partialUpfront
405,ap-southeast-2,c3.large,0.132,0.083,0.098,0.085,0.075,0.088,0.076,0.056,0.060
406,sa-east-1,c3.large,0.163,0.108,0.123,0.110,0.097,0.111,0.099,0.070,0.074
407,us-east-1,c3.xlarge,0.21,0.125,0.146,0.127,0.112,0.131,0.115,0.079,0.084
408,us-west-2,c3.xlarge,0.21,0.125,0.146,0.127,0.112,0.131,0.115,0.079,0.084
409,us-west-1,c3.xlarge,0.239,0.154,0.180,0.157,0.139,0.162,0.142,0.103,0.110
410,eu-west-1,c3.xlarge,0.239,0.154,0.180,0.157,0.139,0.162,0.142,0.103,0.110
411,eu-central-1,c3.xlarge,0.258,0.167,0.192,0.170,0.150,0.173,0.153,0.111,0.118
412,ap-southeast-1,c3.xlarge,0.265,0.166,0.196,0.169,0.149,0.176,0.152,0.112,0.119
413,ap-northeast-1,c3.xlarge,0.255,0.172,0.194,0.175,0.155,0.175,0.158,0.115,0.123
414,ap-southeast-2,c3.xlarge,0.265,0.166,0.196,0.169,0.149,0.176,0.152,0.112,0.119
415,sa-east-1,c3.xlarge,0.325,0.216,0.246,0.221,0.195,0.221,0.199,0.138,0.147
416,us-east-1,c3.2xlarge,0.42,0.248,0.292,0.253,0.223,0.263,0.228,0.157,0.167
417,us-west-2,c3.2xlarge,0.42,0.248,0.292,0.253,0.223,0.263,0.228,0.157,0.167
418,us-west-1,c3.2xlarge,0.478,0.308,0.360,0.314,0.277,0.324,0.283,0.206,0.219
419,eu-west-1,c3.2xlarge,0.478,0.308,0.360,0.314,0.277,0.324,0.283,0.206,0.219
420,eu-central-1,c3.2xlarge,0.516,0.332,0.384,0.339,0.299,0.346,0.305,0.222,0.236
421,ap-southeast-1,c3.2xlarge,0.529,0.333,0.392,0.340,0.300,0.353,0.306,0.225,0.239
422,ap-northeast-1,c3.2xlarge,0.511,0.344,0.388,0.351,0.309,0.349,0.316,0.232,0.247
423,ap-southeast-2,c3.2xlarge,0.529,0.333,0.392,0.340,0.300,0.353,0.306,0.225,0.239
424,sa-east-1,c3.2xlarge,0.65,0.432,0.492,0.441,0.389,0.443,0.397,0.277,0.295
425,us-east-1,c3.4xlarge,0.84,0.497,0.584,0.507,0.447,0.526,0.456,0.315,0.335
426,us-west-2,c3.4xlarge,0.84,0.497,0.584,0.507,0.447,0.526,0.456,0.315,0.335
427,us-west-1,c3.4xlarge,0.956,0.615,0.720,0.628,0.554,0.648,0.565,0.412,0.439
428,eu-west-1,c3.4xlarge,0.956,0.615,0.720,0.628,0.554,0.648,0.565,0.412,0.439
429,eu-central-1,c3.4xlarge,1.032,0.664,0.768,0.678,0.598,0.691,0.610,0.445,0.474
430,ap-southeast-1,c3.4xlarge,1.058,0.666,0.784,0.680,0.599,0.706,0.612,0.448,0.477
431,ap-northeast-1,c3.4xlarge,1.021,0.687,0.776,0.701,0.618,0.698,0.631,0.463,0.493
432,ap-southeast-2,c3.4xlarge,1.058,0.666,0.784,0.680,0.599,0.706,0.612,0.448,0.477
433,sa-east-1,c3.4xlarge,1.3,0.865,0.984,0.883,0.779,0.886,0.794,0.554,0.589
434,us-east-1,c3.8xlarge,1.68,0.992,1.168,1.012,0.893,1.051,0.911,0.628,0.668
435,us-west-2,c3.8xlarge,1.68,0.992,1.168,1.012,0.893,1.051,0.911,0.628,0.668
436,us-west-1,c3.8xlarge,1.912,1.231,1.440,1.256,1.108,1.296,1.131,0.825,0.877
437,eu-west-1,c3.8xlarge,1.912,1.231,1.440,1.256,1.108,1.296,1.131,0.825,0.877
438,eu-central-1,c3.8xlarge,2.064,1.330,1.536,1.357,1.197,1.382,1.221,0.891,0.947
439,ap-southeast-1,c3.8xlarge,2.117,1.331,1.568,1.358,1.198,1.411,1.222,0.897,0.954
440,ap-northeast-1,c3.8xlarge,2.043,1.374,1.552,1.402,1.236,1.397,1.261,0.926,0.985
441,ap-southeast-2,c3.8xlarge,2.117,1.331,1.568,1.358,1.198,1.411,1.222,0.897,0.954
442,sa-east-1,c3.8xlarge,2.6,1.730,1.968,1.765,1.557,1.771,1.589,1.108,1.178
443,us-east-1,c4.large,0.1,0.059,0.070,0.060,0.053,0.063,0.054,0.039,0.041
444,us-west-2,c4.large,0.1,0.059,0.070,0.060,0.053,0.063,0.054,0.039,0.041
