,AvailabilityZone,InstanceType,Max,Mean,Median,Min,STD,OnDemand,yrTerm1Standard.allUpfront,yrTerm1Standard.noUpfront,yrTerm1Standard.partialUpfront,yrTerm3Convertible.allUpfront,yrTerm3Convertible.noUpfront,yrTerm3Convertible.partialUpfront,yrTerm3Standard.allUpfront,yrTerm3Standard.partialUpfront
672,us-west-1b,c1.medium,0.06844999999999998,0.06544744990505028,0.06609999999999999,0.0606,0.0015866200303459273,0.14800000000000002,0.095,0.111,0.09699999999999999,,,,0.064,0.068
673,us-west-1c,c1.medium,0.0671,0.06401090016015072,0.06589411764705881,0.0601,0.002630129074306407,0.14800000000000002,0.095,0.111,0.09699999999999999,,,,0.064,0.068
674,us-west-2a,c1.medium,0.0805,0.06875539931609144,0.06647142857142858,0.06634999999999999,0.0049000861741095615,0.13,0.077,0.091,0.078,,,,0.049,0.052000000000000005
675,us-west-2b,c1.medium,0.0801,0.07166629054925686,0.06634999999999999,0.06609999999999999,0.006641693676807173,0.13,0.077,0.091,0.078,,,,0.049,0.052000000000000005
676,us-west-2c,c1.medium,0.0803,0.06877809669476452,0.0665,0.0662,0.004953710865497334,0.13,0.077,0.091,0.078,,,,0.049,0.052000000000000005
677,ap-northeast-1a,m3.xlarge,0.2928391304347826,0.11761675268687122,0.11213585973478335,0.10168918918918925,0.025407427960814726,0.385,0.218,0.255,0.223,0.196,0.23,0.2,0.147,0.156
678,ap-northeast-1c,m3.xlarge,0.4505959409594095,0.1055659043558676,0.09694339525283802,0.0941166666666667,0.0396299441353343,0.385,0.218,0.255,0.223,0.196,0.23,0.2,0.147,0.156
679,ap-southeast-1a,m3.xlarge,0.10915405405405401,0.09966551214945477,0.09927190801293558,0.09528290598290588,0.0022830619427959453,0.392,0.231,0.272,0.23600000000000002,0.20800000000000002,0.245,0.212,0.147,0.156
680,ap-southeast-1b,m3.xlarge,0.14988907103825144,0.09642841917942112,0.0959556527977045,0.0938843373493976,0.0029618037941044136,0.392,0.231,0.272,0.23600000000000002,0.20800000000000002,0.245,0.212,0.147,0.156
681,ap-southeast-2a,m3.xlarge,0.16825,0.10050181692402178,0.0986225,0.092,0.007960561845282927,0.37200000000000005,0.22,0.258,0.22399999999999998,0.198,0.23199999999999998,0.20199999999999999,0.147,0.156
682,ap-southeast-2b,m3.xlarge,0.16855000000000003,0.09869350262021435,0.09661843317972352,0.09156666666666667,0.00744521030020311,0.37200000000000005,0.22,0.258,0.22399999999999998,0.198,0.23199999999999998,0.20199999999999999,0.147,0.156
683,ap-southeast-2c,m3.xlarge,0.3054946236559139,0.1010260326542267,0.09592132352941175,0.09200000000000001,0.012650880128890296,0.37200000000000005,0.22,0.258,0.22399999999999998,0.198,0.23199999999999998,0.20199999999999999,0.147,0.156
684,eu-central-1a,m3.xlarge,0.2683,0.09800715364434223,0.09388235294117647,0.09035,0.015132752812620177,0.315,0.215,0.239,0.21899999999999997,0.19399999999999998,0.215,0.19699999999999998,0.14400000000000002,0.154
685,eu-central-1b,m3.xlarge,0.26826,0.10198548374770877,0.09217394957983192,0.09066666666666667,0.018115912169068382,0.315,0.215,0.239,0.21899999999999997,0.19399999999999998,0.215,0.19699999999999998,0.14400000000000002,0.154
686,eu-west-1a,m3.xlarge,0.11602916666666672,0.09714937043438827,0.0962512966476913,0.09288636363636363,0.0033322936798305196,0.293,0.19899999999999998,0.22,0.203,0.179,0.198,0.183,0.134,0.142
687,eu-west-1b,m3.xlarge,0.1399220930232558,0.09769311780643718,0.0962658197083518,0.09364782608695653,0.004520657721864089,0.293,0.19899999999999998,0.22,0.203,0.179,0.198,0.183,0.134,0.142
688,eu-west-1c,m3.xlarge,0.12515735294117641,0.09686598950928291,0.09590602928509902,0.09373548387096775,0.0031295276488172183,0.293,0.19899999999999998,0.22,0.203,0.179,0.198,0.183,0.134,0.142
689,us-east-1a,m3.xlarge,0.42159005464480853,0.10113396077912302,0.09840880283428799,0.08566543209876555,0.015984369463817837,0.266,0.163,0.19,0.166,0.147,0.171,0.15,0.105,0.111
690,us-east-1c,m3.xlarge,0.8117176470588234,0.10534822109514502,0.099768325369471,0.08656391752577319,0.03479610787318133,0.266,0.163,0.19,0.166,0.147,0.171,0.15,0.105,0.111
691,us-east-1d,m3.xlarge,0.7202597302504812,0.1063766681800993,0.1006756089055795,0.08832080924855494,0.03553783625096018,0.266,0.163,0.19,0.166,0.147,0.171,0.15,0.105,0.111
692,us-west-1b,m3.xlarge,0.10251174089068829,0.08950422944166152,0.08881859083191848,0.08400526315789474,0.0036117211767683075,0.308,0.21,0.23199999999999998,0.214,0.18899999999999997,0.209,0.193,0.135,0.14300000000000002
693,us-west-1c,m3.xlarge,0.12833427762039656,0.09316519026177884,0.09154975633528267,0.08435064935064936,0.006615358259234565,0.308,0.21,0.23199999999999998,0.214,0.18899999999999997,0.209,0.193,0.135,0.14300000000000002
694,us-west-2a,m3.xlarge,0.30055000000000004,0.10444815981840386,0.0978699279519067,0.08473055555555556,0.024070896245218833,0.266,0.163,0.19,0.166,0.147,0.171,0.15,0.105,0.111
695,us-west-2b,m3.xlarge,0.3732917647058825,0.11582049653796717,0.10290467730661698,0.08552439024390243,0.034023136702895584,0.266,0.163,0.19,0.166,0.147,0.171,0.15,0.105,0.111
696,us-west-2c,m3.xlarge,0.3043906382978724,0.10070139364491108,0.09714444444444446,0.08479183673469384,0.01732302973319009,0.266,0.163,0.19,0.166,0.147,0.171,0.15,0.105,0.111
697,ap-southeast-1a,g2.8xlarge,8.556000000000001,6.763895927478018,6.7780000000000005,0.71668,1.3844228376111798,4.0,2.8080000000000003,3.088,2.866,2.5269999999999997,2.779,2.5789999999999997,1.857,1.975
698,ap-southeast-1b,g2.8xlarge,8.556000000000001,4.815912967147064,4.7402750000000005,0.49054999999999993,2.1100758267378015,4.0,2.8080000000000003,3.088,2.866,2.5269999999999997,2.779,2.5789999999999997,1.857,1.975
699,ap-southeast-2a,g2.8xlarge,38.7,36.6991792656591,35.97,35.97,1.2083079555871425,3.592,2.347,2.7119999999999997,2.395,2.112,2.441,2.156,1.6669999999999998,1.7730000000000001
700,ap-southeast-2b,g2.8xlarge,38.7,17.43718942205492,13.66735,0.8233999999999999,13.71190237427892,3.592,2.347,2.7119999999999997,2.395,2.112,2.441,2.156,1.6669999999999998,1.7730000000000001
